ingredient,allergy
refined arachis oil,peanut
peanut butter,peanut
creamy peanut butter,peanut
crunchy peanut butter,peanut
peanut butter spread,peanut
peanut butter powder,peanut
peanut caramel,peanut
peanut flour,peanut
defatted peanut flour,peanut
peanut protein powder,peanut
peanut extract,peanut
peanut essence,peanut
peanut flavoring,peanut
peanut pulp,peanut
peanut spread,peanut
arachis oil,peanut
peanut protein,peanut
peanut protein isolate,peanut
peanut protein concentrate,peanut
peanut granules,peanut
peanut flour,peanut
peanut butter powder,peanut
peanut butter concentrate,peanut
peanut protein flour,peanut
peanut clusters,peanut
peanut milk,peanut
whole wheat flour,gluten
white wheat flour,gluten
unbleached wheat flour,gluten
bleached wheat flour,gluten
self-rising wheat flour,gluten
high-gluten wheat flour,gluten
durum wheat flour,gluten
semolina,gluten
cereal flour,gluten
wheat starch,gluten
wheat bran,gluten
malted barley flour,gluten
barley flour,gluten
barley malt,gluten
malted barley flour,gluten
barley malt flour,gluten
fettuccine,gluten
rye flour,gluten
kamut flour,gluten
kamut bran,gluten
whole rye flour,gluten
wheat dextrin,gluten
triticale flour,gluten
bulgur grain,gluten
wheat gluten,gluten
spelt bran,gluten
vital wheat gluten,gluten
gluten flour,gluten
wheat protein,gluten
wheat gluten concentrate,gluten
hydrolyzed wheat gluten,gluten
maltodextrin,gluten
malt,gluten
couscous,gluten
barley malt,gluten
malt syrup,gluten
malt extract,gluten
malt powder,gluten
maltose,gluten
panko,gluten
cereal extracts,gluten
khorasan wheat,gluten
barley extract,gluten
wheat extract,gluten
rye extract,gluten
tempura batter,gluten
beer batter,gluten
seitan,gluten
wheat starch (used in various processed foods),gluten
couscous (made from wheat),gluten
wheat bran (used in baked goods and as fiber),gluten
whole milk,milk
skim milk,milk
low-fat milk,milk
condensed milk,milk
evaporated milk,milk
powdered milk,milk
ultra-pasteurized milk,milk
raw milk,milk
flavoured milk,milk
milk fat,milk
butterfat,milk
heavy cream,milk
whipping cream,milk
light cream,milk
half-and-half cream,milk
clotted cream,milk
sour cream,milk
double cream,milk
butter,milk
lactose monohydrate,milk
salted butter,milk
unsalted butter,milk
clarified butter,milk
lactose hydrolysate,milk
cheese,milk
ghee,milk
"soft cheese (brie, camembert)",milk
ricotta,milk
cream cheese,milk
cottage cheese,milk
mozzarella,milk
cheddar cheese,milk
swiss cheese,milk
parmesan,milk
provolone,milk
american cheese,milk
blue cheese,milk
feta cheese,milk
ricotta cheese,milk
cheese powder,milk
sorbet,milk
yogurt,milk
milk sugar,milk
regular yogurt,milk
greek yogurt,milk
flavored yogurt,milk
frozen yogurt,milk
probiotic yogurt,milk
processed cheese,milk
milk protein isolate,milk
milk-based powder,milk
creamed fillings,milk
milk powder,milk
nonfat dry milk,milk
whey powder,milk
casein,milk
whey protein concentrate,milk
whey protein isolate,milk
milk protein concentrate,milk
whey and casein products,milk
alfredo sauce,milk
whey protein,milk
whey concentrate,milk
whey isolate,milk
cheese sauce,milk
milk-based additives,milk
lactylates,milk
lactose,milk
lactalbumin,milk
lactoglobulin,milk
milk solids,milk
milk protein concentrate,milk
lactose ester,milk
milk chocolate,milk
milk-based coffee creamer,milk
powdered creamer,milk
liquid coffee creamers,milk
milk-derived glaze,milk
clarified butter,milk
milk-derived gums,milk
milk-based caramels,milk
milk-based toffees,milk
milk chocolate candies,milk
candy bars with milk fillings,milk
milk solids,milk
milk protein,milk
whole milk powder,milk
milk powder (nonfat),milk
sorbetto,milk
salmon,"fish, sea food"
tuna,"fish, sea food"
cod,"fish, sea food"
haddock,"fish, sea food"
mackerel,"fish, sea food"
trout,"fish, sea food"
sardines,"fish, sea food"
halibut,"fish, sea food"
anchovies,"fish, sea food"
swordfish,"fish, sea food"
grouper,"fish, sea food"
pollock,"fish, sea food"
flounder,"fish, sea food"
bass,"fish, sea food"
tilapia,"fish, sea food"
snapper,"fish, sea food"
fish oil,"fish, sea food"
fish protein hydrolysate,"fish, sea food"
fish sauce,"fish, sea food"
anchovy paste,"fish, sea food"
fish stock,"fish, sea food"
fish paste,"fish, sea food"
fish gelatin,"fish, sea food"
fish powder,"fish, sea food"
fish roe,"fish, sea food"
caviar,"fish, sea food"
surimi,"fish, sea food"
unagi,"fish, sea food"
maguro,"fish, sea food"
saba,"fish, sea food"
fish-derived collagen,"fish, sea food"
fish-derived gelatin,"fish, sea food"
fish-derived isinglass,"fish, sea food"
fish meal,"fish, sea food"
cod liver oil,"fish, sea food"
salmon oil,"fish, sea food"
fish liver oil,"fish, sea food"
omega-3 fish oil,"fish, sea food"
fish sauce,"fish, sea food"
worcestershire sauce,"fish, sea food"
canned tuna,"fish, sea food"
anchovy paste,"fish, sea food"
anchovies,"fish, sea food"
ebi,"fish, sea food"
herring oil,"fish, sea food"
mackerel oil,"fish, sea food"
anchovy oil,"fish, sea food"
trout oil,"fish, sea food"
halibut oil,"fish, sea food"
sardine oil,"fish, sea food"
sushi,"fish, sea food"
sashimi,"fish, sea food"
maki rolls,"fish, sea food"
salmon roe,"fish, sea food"
anchovy marinade,"fish, sea food"
fish-flavored brine,"fish, sea food"
fish oil capsules,"fish, sea food"
cod liver oil,"fish, sea food"
fish-based omega-3 supplements,"fish, sea food"
katsuo,"fish, sea food"
fish extracts,"fish, sea food"
fish stock powder,"fish, sea food"
fish essence,"fish, sea food"
anchovy sauce,"fish, sea food"
thai fish sauce,"fish, sea food"
nam pla ,"fish, sea food"
nuoc mam,"fish, sea food"
toned milk,milk
